date,type,color,freq
2013-04-28,total,71.61125335303109,391
2013-04-30,total,61.22449034087512,49
2013-05-02,total,72.9651111780211,344
2013-05-05,total,67.93478488922119,184
2013-05-06,total,65.23809153238932,210
2013-05-07,total,70.21276092529297,3
2013-05-08,total,65.50218510523634,229
2013-05-09,total,73.77584256907932,919
2013-05-12,total,71.34670458687069,349
2013-05-17,total,74.63235505421957,816
2013-05-20,total,72.32142734527588,112
2013-05-21,total,68.57142857142857,35
2013-05-22,total,57.54717301422695,106
2013-05-26,total,53.68421193173057,19
2013-05-30,total,50.0,9
2013-05-31,total,45.00000057220459,40
2013-06-07,total,42.105262756347656,1
2013-06-10,total,71.42857033865792,28
2013-06-11,total,52.450981588924634,17
2013-06-14,total,60.74766574396151,214
2013-06-17,total,72.20543504697679,331
2013-06-19,total,80.00000352859497,80
2013-06-22,total,78.07486455580768,17
2013-06-26,total,77.44107846860533,297
2013-06-30,total,59.72222349378798,72
2013-07-10,total,41.379310607910156,5
2013-07-11,total,69.31818327036771,176
2013-07-13,total,63.492062704903745,63
2013-07-15,total,51.282051673302284,39
2013-07-17,total,55.38461538461539,65
2013-07-18,total,65.67163894425578,201
2013-07-19,total,60.621412549700054,21
2013-07-21,total,81.81818389892578,11
2013-07-22,total,81.81818389892578,4
2013-07-23,total,58.508161544799805,6
2013-07-25,total,82.5791857102338,34
2013-07-28,total,65.27472959245955,35
2013-08-01,total,76.42140297267748,46
2013-08-02,total,84.16289351968204,34
2013-08-07,total,87.09677124023438,1
2013-08-11,total,67.14640274047852,5
2013-08-13,total,76.38376696259334,271
2013-08-14,total,77.45184580485027,3
2013-08-15,total,71.54471588134766,1
2013-08-17,total,76.8611328125,10
2013-08-22,total,67.62294944387968,244
2013-08-23,total,64.6802978515625,12
2013-08-27,total,76.12698272705077,25
2013-08-28,total,74.63414615538062,205
2013-08-29,total,62.11180318512531,161
2013-08-30,total,59.183677673339844,49
2013-08-31,total,59.67742400015554,62
2013-09-02,total,77.01149526135674,174
2013-09-03,total,76.4040412902832,10
2013-09-04,total,72.79411935806274,272
2013-09-05,total,75.42372732647395,118
2013-09-07,total,58.06451932845577,31
2013-09-08,total,72.60273899444162,73
2013-09-09,total,72.7272720336914,1
2013-09-10,total,70.17543638798229,114
2013-09-11,total,75.65789363258764,152
2013-09-12,total,67.6113383181182,247
2013-09-14,total,58.76623180934361,28
2013-09-15,total,73.01587495349702,126
2013-09-16,total,61.26126160492768,111
2013-09-17,total,69.32153257296852,339
2013-09-18,total,83.66336555480957,20
2013-09-19,total,45.45454822887074,22
2013-09-20,total,74.79541578776707,611
2013-09-21,total,63.92405430274673,158
2013-09-22,total,69.35483834051317,62
2013-09-23,total,70.92050091093056,478
2013-09-24,total,72.10526223433645,190
2013-09-25,total,60.65573570376537,183
2013-09-26,total,62.85714416503907,70
2013-09-27,total,73.3333315813983,135
